SpeciesName,x,y,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
Centipeda_periodontii,-0.8246496,4.9900646,Bacteria,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Centipeda,Centipeda periodontii
Lactobacillus_brevis,10.454595,11.328538,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus brevis
Propionibacterium_freudenreichii,9.944962,8.768729,Bacteria,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii
Lactobacillus_apis,10.3545,11.42278,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus apis
Erysipelatoclostridium_ramosum,10.36144,7.7545624,Bacteria,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Thomasclavelia,Erysipelatoclostridium ramosum
Clostridium_sp_CAG_678,9.601601,1.481269,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium sp_CAG_678
Lactobacillus_vaginalis,10.017082,11.437416,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus vaginalis
Lactobacillus_phage_JCL1032,-6.48622,3.1828978,Viruses,Viruses,Uroviricota,Caudoviricetes,Unknown,Unknown,Unknown,Lactobacillus phage_JCL1032
Proteus_mirabilis,8.372116,9.873024,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis
Acinetobacter_ursingii,7.572964,10.463982,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter ursingii
Enorma_massiliensis,10.11255,8.253222,Bacteria,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Enorma,Enorma massiliensis
Gemella_morbillorum,6.124618,6.3506947,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella morbillorum
Kluyvera_georgiana,6.676893,11.162358,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kluyvera,Kluyvera georgiana
Lactococcus_phage_bIL309,-7.420915,3.5879729,Viruses,Viruses,Uroviricota,Caudoviricetes,Unknown,Unknown,Sandinevirus,Lactococcus phage_bIL309
Blautia_hydrogenotrophica,9.771262,11.027802,Bacteria,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica
Treponema_medium,4.9325027,10.365451,Bacteria,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema medium
Coprobacter_fastidiosus,13.071016,3.3883955,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,Coprobacter fastidiosus
Enterobacteria_phage_WA13_sensu_lato,-5.665274,5.0208583,Viruses,Viruses,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Alphatrevirus,Enterobacteria phage_WA13_sensu_lato
Klebsiella_phage_phiKO2,-6.5814424,3.6396577,Viruses,Viruses,Uroviricota,Caudoviricetes,Unknown,Unknown,Unknown,Klebsiella phage_phiKO2
Bifidobacterium_pullorum,11.856792,10.091569,Bacteria,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum
Clostridium_sp_ATCC_BAA_442,9.542932,1.39174,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium sp_ATCC_BAA_442
Acidaminococcus_intestini,8.802652,7.105316,Bacteria,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini
Lachnospiraceae_bacterium_3_1_57FAA_CT1,12.173352,8.8204,Bacteria,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_unclassified,Lachnospiraceae bacterium_3_1_57FAA_CT1
Methanosphaera_stadtmanae,7.3350067,5.9545507,Archaea,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae
Brachyspira_sp_CAG_700,12.324124,3.0762594,Bacteria,Bacteria,Spirochaetota,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,Brachyspira sp_CAG_700
