sample_accession	secondary_sample_accession	study_accession	sample_title	description	first_public	last_updated	center_name	country	host_body_site	host_status	disease	host	host_scientific_name	project_name	collection_date
SAMEA104335965	ERS1960943	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA1906435	ERS235523	PRJEB37358;PRJEB1786	398	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA104335959	ERS1960937	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA1906437	ERS235513	PRJEB37358;PRJEB1786	370	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA104335960	ERS1960938	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA1906421	ERS235533	PRJEB37358;PRJEB1786	446	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906446	ERS235571	PRJEB37358;PRJEB1786	589	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA104335963	ERS1960941	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA1906450	ERS235526	PRJEB1786	422	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906422	ERS235554	PRJEB1786	526	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906426	ERS235560	PRJEB1786	543	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906456	ERS235531	PRJEB1786	439	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906424	ERS235570	PRJEB1786	587	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906428	ERS235634	PRJEB1786	286	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906479	ERS235545	PRJEB1786	483	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906462	ERS235572	PRJEB37358;PRJEB1786	591	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
